src_lang,tgt_lang,src,tgt,issues,bias
eng_Latn,hin_Deva,"In Northern India, Jahangir's forces under Khurram defeated their other principal adversary, the Raja of Kangra, in 1615; in the Deccan, his victories further consolidated the empire.
","उत्तरी भारत में, खुर्रम की कमान में जहांगीर की सेना ने अपने अन्य प्रमुख विरोधी, कांगड़ा के राजा को 1615 में पराजित किया; दक्कन में उसकी जीत ने साम्राज्य को और मजबूत कर दिया।
",minor translation differences,none
eng_Latn,hin_Deva,"She was witty, intelligent, and beautiful, which was what attracted Jahangir to her.
","वह चुलबुली, बुद्धिमती और सुंदर थी, और इन्हीं कारणों से जहांगीर उसकी ओर आकर्षित हुए।
",minor translation differences,none
eng_Latn,hin_Deva,"In September 1593, he married a daughter of Ali Khan Faruqi, Raja of Khandesh.
","सितंबर 1593 में, उन्होंने खानदेश के राजा अली खान फारूकी की एक बेटी से शादी की।
",formatting/typographical error,none
eng_Latn,hin_Deva,"Jahangir honored her with the title Shah Begum after she gave birth to Khusrau Mirza, the eldest son of Jahangir.
","जहांगीर ने अपने सबसे बड़े बेटे खुसरो मिर्जा को जन्म देने पर उन्हें शाह बेगम की उपाधि से सम्मानित किया।
",minor translation differences,none
eng_Latn,hin_Deva,"A lavish ceremony took place and the bride's palanquin was carried by Akbar and Salim for some distance in her honor.
","एक भव्य समारोह आयोजित किया गया और दुल्हन के सम्मान में अकबर और सलीम ने उसकी पालकी को कुछ दूर तक  उठाया।
",minor translation differences,none
eng_Latn,hin_Deva,"Since their previous children had died in infancy therefore Akbar had sought the blessing of holy men for the blessings of an heir-apparent to his empire.
","चूंकि अकबर के इससे पहले के बच्चों की शैशवावस्था में मृत्यु हो गई थी, इसलिए वे अपने साम्राज्य के युवराज के लिए साधु-संतों का आशीर्वाद चाहते थे।
",minor translation differences,none
eng_Latn,hin_Deva,"The fictitious tale of his relationship with the Mughal courtesan, Anarkali, has been widely adapted into the literature, art and cinema of India.
","मुगल गणिकाअनारकली के साथ उनके संबंधों की काल्पनिक कहानी को भारत के साहित्य, कला और सिनेमा में व्यापक रूप से रूपान्तरित किया गया है।
",minor translation differences,none
eng_Latn,hin_Deva,"I could not prepare myself before every game in Delhi because I did not know who was going to be my opponent the next day.
","मैं दिल्ली में हर मैच से पहले खुद को तैयार नहीं कर सका क्योंकि मुझे नहीं पता था कि अगले दिन मेरा प्रतिद्वंद्वी कौन होगा।
",minor translation differences,none
eng_Latn,hin_Deva,"The final match played from 20 to 26 December 2000 in Tehran, pitted Anand against fourth-seeded Shirov, who was denied a chance to play Kasparov for the world title two years earlier.
","तेहरान में 20 से 26 दिसंबर 2000 तक खेले गए अंतिम मैच में आनंद ने चौथी वरीयता प्राप्त शिरोव के खिलाफ मुकाबला किया, जिसे दो साल पहले विश्व खिताब के लिए कास्पारोव के खिलाफ खेलने का मौका नहीं दिया गया था।
",formatting/typographical error,none
eng_Latn,hin_Deva,"After dispatching future FIDE champion Alexander Khalifman in the third round, he scored quick victories over Zoltan Almasi, Alexei Shirov, and Boris Gelfand to advance.
","तीसरे दौर में भावी फाइड चैंपियन अलेक्जेंडर खलीफमैन को हराने के बाद, उन्होंने आगे बढ़ने के लिए ज़ोल्टन अलमासी, अलेक्सी शिरोव और बोरिस गेलफैंड पर कम समय में ही जीत हासिल कीं।
",minor translation differences,none
eng_Latn,hin_Deva,"Controversially, Karpov, the defending champion, was seeded directly into the final, held just three days after the conclusion of the three-week tournament.
","विवादास्पद रूप से, गत चैंपियन कारपोव को तीन सप्ताह के टूर्नामेंट के समापन के तीन दिन बाद ही सीधे निर्णायक मैच में खेलने का मौका दिया गया।
",minor translation differences,none
eng_Latn,hin_Deva,"Anand wasn't paying enough attention with his team to the fact that he was playing the World Championship.
","आनंद अपने दल के साथ इस तथ्य पर पर्याप्त ध्यान नहीं दे रहे थे कि वे विश्व चैम्पियनशिप में खेल रहे थे।
",minor translation differences,none
eng_Latn,hin_Deva,"Anand lost the match in five games, Games 10 to 14.
","आनंद गेम10 से गेम 14 तक पांच गेम हार कर मैच हार गए।
","formatting/typographical error, minor translation differences",none
eng_Latn,hin_Deva,"Anand married Aruna in 1996 and has a son, born on 9 April 2011, named in the traditional patronymic way Anand Akhil.
","आनंद ने 1996 में अरुणा से शादी की और उनके बेटे का जन्म 9 अप्रैल 2011 को हुआ, जिसका नाम पारंपरिक पितृनाम तरीके के अनुसार आनंद अखिल है।
",formatting/typographical error,none
eng_Latn,hin_Deva,"The Marathas were forced to retreat; they launched a second campaign after the monsoon season, but again were unable to prevent the Nizam from ousting the Maratha collectors.
","मराठा पीछे हटने को मजबूर हो गए थे;  उन्होंने मानसून के मौसम के बाद दूसरा अभियान शुरू किया, लेकिन फिर से वे निजाम को मराठा कर-समाहर्ताओं को हटाने से रोकने में असमर्थ रहे।
",minor translation differences,none
eng_Latn,hin_Deva,"The German team was successful in restricting the India side to a single goal until the first interval.
","जर्मन टीम मध्य अंतराल से पहले तक भारत को एक गोल तक सीमित रखने में सफल रही।
",minor translation differences,none
eng_Latn,hin_Deva,"On the morning of the final, the entire team was nervous since they had been defeated the last time they had faced Germany.
","निर्णायक खेल की सुबह, दल के सभी लोग घबराए हुए थे क्योंकि वे पिछली बार जर्मनी के खिलाफ हार गए थे।
",minor translation differences,none
eng_Latn,hin_Deva,"On 5 August, India won its first match against Hungary 4-0.
","5 अगस्त को भारत ने अपना पहला मैच हंगरी के खिलाफ 4-0 से जीता।
",formatting/typographical error,none
eng_Latn,hin_Deva,"In combination with Marthins, he took the ball away to the right and Marthins did well to give him a good pass.
","मार्टिन्स के साथ मिलकर, वे गेंद को दाहिनी ओर ले गए और मार्टिन्स ने बहुत अच्छा खेलते हुए उन्हें एक अच्छा पास दिया।
",minor translation differences,none
eng_Latn,hin_Deva,"Dhyan Chand was born in Allahabad on 29 August 1905 in a Kushwaha Rajput family.
","ध्यानचंद का जन्म 29 अगस्त 1905 में इलाहाबाद के एक कुशवाहा राजपूत परिवार में हुआ था।
","formatting/typographical error, minor translation differences",none
eng_Latn,hin_Deva,"India's highest sporting honour Major Dhyan Chand Khel Ratna Award is named after him.
","भारत का सर्वोच्च खेल सम्मान मेजर ध्यानचंद खेल रत्न पुरस्कार उनके नाम पर जारी किया गया है।
",minor translation differences,none
eng_Latn,hin_Deva,"With this Persian Safavid aid Humayun took Kandahar from Askari Mirza after a two-week siege.
","इस फारसी सफाविद सहायता से हुमायूं ने दो सप्ताह की घेराबंदी के बाद अस्करी मिर्जा से कांधार छीन लिया।
",minor translation differences,none
eng_Latn,hin_Deva,"Although the Mughals initially disagreed to their conversion they knew that with this outward acceptance of Shi'ism, Tahmasp was eventually prepared to offer Humayun more substantial support.
","हालांकि मुगलों ने शुरू में अपने धर्म परिवर्तन के लिए असहमति जताई थी, वे जानते थे कि शियावाद की दिखावे की स्वीकृति के साथ, तहमास्प अंततः हुमायूं को और अधिक महत्वपूर्ण समर्थन देने के लिए तैयार हो जाएगा।
",minor translation differences,religious bias
