src_lang,tgt_lang,src,tgt
eng_Latn,hin_Deva,"In Northern India, Jahangir's forces under Khurram defeated their other principal adversary, the Raja of Kangra, in 1615; in the Deccan, his victories further consolidated the empire.
","उत्तरी भारत में, खुर्रम की कमान में जहांगीर की सेना ने अपने अन्य प्रमुख विरोधी, कांगड़ा के राजा को 1615 में पराजित किया; दक्कन में उसकी जीत ने साम्राज्य को और मजबूत कर दिया।
"
eng_Latn,hin_Deva,"She was witty, intelligent, and beautiful, which was what attracted Jahangir to her.
","वह चुलबुली, बुद्धिमती और सुंदर थी, और इन्हीं कारणों से जहांगीर उसकी ओर आकर्षित हुए।
"
eng_Latn,hin_Deva,"On 17 June 1608, he married Koka Kumari Begum, eldest daughter of Jagat Singh, Yuvraj of Amber.
","17 जून 1608 में उन्होंने आमेर के युवराज, जगत सिंह की सबसे बड़ी बेटी कोका कुमारी बेगम से शादी की।
"
eng_Latn,hin_Deva,"In September 1593, he married a daughter of Ali Khan Faruqi, Raja of Khandesh.
","सितंबर 1593 में, उन्होंने खानदेश के राजा अली खान फारूकी की एक बेटी से शादी की।
"
eng_Latn,hin_Deva,"Jahangir honored her with the title Shah Begum after she gave birth to Khusrau Mirza, the eldest son of Jahangir.
","जहांगीर ने अपने सबसे बड़े बेटे खुसरो मिर्जा को जन्म देने पर उन्हें शाह बेगम की उपाधि से सम्मानित किया।
"
eng_Latn,hin_Deva,"A lavish ceremony took place and the bride's palanquin was carried by Akbar and Salim for some distance in her honor.
","एक भव्य समारोह आयोजित किया गया और दुल्हन के सम्मान में अकबर और सलीम ने उसकी पालकी को कुछ दूर तक  उठाया।
"
eng_Latn,hin_Deva,"Since their previous children had died in infancy therefore Akbar had sought the blessing of holy men for the blessings of an heir-apparent to his empire.
","चूंकि अकबर के इससे पहले के बच्चों की शैशवावस्था में मृत्यु हो गई थी, इसलिए वे अपने साम्राज्य के युवराज के लिए साधु-संतों का आशीर्वाद चाहते थे।
"
eng_Latn,hin_Deva,"The fictitious tale of his relationship with the Mughal courtesan, Anarkali, has been widely adapted into the literature, art and cinema of India.
","मुगल गणिकाअनारकली के साथ उनके संबंधों की काल्पनिक कहानी को भारत के साहित्य, कला और सिनेमा में व्यापक रूप से रूपान्तरित किया गया है।
"
eng_Latn,hin_Deva,"I could not prepare myself before every game in Delhi because I did not know who was going to be my opponent the next day.
","मैं दिल्ली में हर मैच से पहले खुद को तैयार नहीं कर सका क्योंकि मुझे नहीं पता था कि अगले दिन मेरा प्रतिद्वंद्वी कौन होगा।
"
eng_Latn,hin_Deva,"The final match played from 20 to 26 December 2000 in Tehran, pitted Anand against fourth-seeded Shirov, who was denied a chance to play Kasparov for the world title two years earlier.
","तेहरान में 20 से 26 दिसंबर 2000 तक खेले गए अंतिम मैच में आनंद ने चौथी वरीयता प्राप्त शिरोव के खिलाफ मुकाबला किया, जिसे दो साल पहले विश्व खिताब के लिए कास्पारोव के खिलाफ खेलने का मौका नहीं दिया गया था।
"
