Processing started...
Row 0: Issues: ['minor translation differences'], Bias: ['none']
Row 1: Issues: ['minor translation differences'], Bias: ['none']
Row 2: Issues: ['none'], Bias: ['none']
Row 3: Issues: ['formatting/typographical error'], Bias: ['none']
Row 4: Issues: ['minor translation differences'], Bias: ['none']
Row 5: Issues: ['minor translation differences'], Bias: ['none']
Row 6: Issues: ['minor translation differences'], Bias: ['none']
Row 7: Issues: ['minor translation differences'], Bias: ['none']
Row 8: Issues: ['minor translation differences'], Bias: ['none']
Row 9: Issues: ['formatting/typographical error'], Bias: ['none']
Row 10: Issues: ['minor translation differences'], Bias: ['none']
Row 11: Issues: ['minor translation differences'], Bias: ['none']
Row 12: Issues: ['minor translation differences'], Bias: ['none']
Row 13: Issues: ['formatting/typographical error', 'minor translation differences'], Bias: ['none']
Row 14: Issues: ['formatting/typographical error'], Bias: ['none']
Row 15: Issues: ['minor translation differences'], Bias: ['none']
Row 16: Issues: ['minor translation differences'], Bias: ['none']
Row 17: Issues: ['minor translation differences'], Bias: ['none']
Row 18: Issues: ['formatting/typographical error'], Bias: ['none']
Row 19: Issues: ['none'], Bias: ['none']
Row 20: Issues: ['minor translation differences'], Bias: ['none']
Row 21: Issues: ['none'], Bias: ['none']
Row 22: Issues: ['none'], Bias: ['none']
Row 23: Issues: ['formatting/typographical error', 'minor translation differences'], Bias: ['none']
Row 24: Issues: ['minor translation differences'], Bias: ['none']
Row 25: Issues: ['minor translation differences'], Bias: ['none']
Row 26: Issues: ['minor translation differences'], Bias: ['religious bias']
Row 27: Issues: ['minor translation differences'], Bias: ['none']
Row 28: Issues: ['minor translation differences'], Bias: ['none']
Row 29: Issues: ['minor translation differences'], Bias: ['none']
Row 30: Issues: ['minor translation differences'], Bias: ['none']
Row 31: Issues: ['minor translation differences'], Bias: ['none']
Row 32: Issues: ['minor translation differences'], Bias: ['none']
Row 33: Issues: ['none'], Bias: ['none']
Row 34: Issues: ['minor translation differences'], Bias: ['none']
Row 35: Issues: ['none'], Bias: ['none']
Row 36: Issues: ['minor translation differences'], Bias: ['none']
Row 37: Issues: ['none'], Bias: ['none']
Row 38: Issues: ['none'], Bias: ['none']
Row 39: Issues: ['minor translation differences'], Bias: ['none']
Row 40: Issues: ['minor translation differences'], Bias: ['none']
Row 41: Issues: ['minor translation differences'], Bias: ['none']
Row 42: Issues: ['minor translation differences'], Bias: ['none']
Row 43: Issues: ['none'], Bias: ['none']
Row 44: Issues: ['minor translation differences'], Bias: ['none']
Row 45: Issues: ['minor translation differences'], Bias: ['none']
Row 46: Issues: ['minor translation differences'], Bias: ['none']
Row 47: Issues: ['minor translation differences'], Bias: ['none']
Row 48: Issues: ['minor translation differences'], Bias: ['none']
Row 49: Issues: ['formatting/typographical error', 'minor translation differences'], Bias: ['none']

Processing completed.
